sps 100000
0.0000000 0.0000000 0
-0.0000007 -0.0000029 0
-0.0000029 -0.0000116 0
-0.0000065 -0.0000262 0
-0.0000116 -0.0000465 0
-0.0000182 -0.0000727 0
-0.0000262 -0.0001046 0
-0.0000356 -0.0001424 0
-0.0000465 -0.0001860 0
-0.0000588 -0.0002354 0
-0.0000727 -0.0002906 0
-0.0000879 -0.0003516 0
-0.0001046 -0.0004185 0
-0.0001228 -0.0004911 0
-0.0001424 -0.0005696 0
-0.0001635 -0.0006539 0
-0.0001860 -0.0007440 0
-0.0002100 -0.0008398 0
-0.0002354 -0.0009416 0
-0.0002623 -0.0010491 0
-0.0002906 -0.0011624 0
-0.0003204 -0.0012816 0
-0.0003516 -0.0014066 0
-0.0003843 -0.0015373 0
-0.0004185 -0.0016739 0
-0.0004541 -0.0018163 0
-0.0004911 -0.0019645 0
-0.0005297 -0.0021185 0
-0.0005696 -0.0022784 0
-0.0006110 -0.0024440 0
-0.0006539 -0.0026155 0
-0.0006982 -0.0027928 0
-0.0007440 -0.0029758 0
-0.0007912 -0.0031648 0
-0.0008399 -0.0033594 0
-0.0008900 -0.0035599 0
-0.0009416 -0.0037663 0
-0.0009946 -0.0039784 0
-0.0010491 -0.0041964 0
-0.0011050 -0.0044202 0
-0.0011624 -0.0046498 0
-0.0012213 -0.0048851 0
-0.0012816 -0.0051264 0
-0.0013434 -0.0053734 0
-0.0014065 -0.0056263 0
-0.0014712 -0.0058849 0
-0.0015373 -0.0061494 0
-0.0016049 -0.0064196 0
-0.0016739 -0.0066957 0
-0.0017444 -0.0069776 0
-0.0018163 -0.0072653 0
-0.0018897 -0.0075588 0
-0.0019645 -0.0078582 0
-0.0020408 -0.0081633 0
-0.0021185 -0.0084742 0
-0.0021977 -0.0087910 0
-0.0022784 -0.0091136 0
-0.0023605 -0.0094420 0
-0.0024440 -0.0097762 0
-0.0025290 -0.0101162 0
-0.0026155 -0.0104620 0
-0.0027034 -0.0108136 0
-0.0027927 -0.0111711 0
-0.0028836 -0.0115343 0
-0.0029759 -0.0119034 0
-0.0030696 -0.0122783 0
-0.0031648 -0.0126590 0
-0.0032614 -0.0130455 0
-0.0033595 -0.0134379 0
-0.0034590 -0.0138360 0
-0.0035600 -0.0142399 0
-0.0036624 -0.0146497 0
-0.0037663 -0.0150653 0
-0.0038717 -0.0154867 0
-0.0039785 -0.0159138 0
-0.0040867 -0.0163469 0
-0.0041964 -0.0167857 0
-0.0043076 -0.0172303 0
-0.0044202 -0.0176808 0
-0.0045343 -0.0181370 0
-0.0046498 -0.0185992 0
-0.0047668 -0.0190670 0
-0.0048852 -0.0195407 0
-0.0050050 -0.0200202 0
-0.0051264 -0.0205055 0
-0.0052492 -0.0209967 0
-0.0053734 -0.0214936 0
-0.0054991 -0.0219964 0
-0.0056262 -0.0225049 0
-0.0057548 -0.0230193 0
-0.0058849 -0.0235395 0
-0.0060164 -0.0240655 0
-0.0061493 -0.0245973 0
-0.0062837 -0.0251349 0
-0.0064196 -0.0256784 0
-0.0065569 -0.0262277 0
-0.0066957 -0.0267827 0
-0.0068359 -0.0273436 0
-0.0069776 -0.0279103 0
-0.0071207 -0.0284828 0
-0.0072653 -0.0290611 0
-0.0074113 -0.0296453 0
-0.0075588 -0.0302352 0
-0.0077077 -0.0308310 0
-0.0078581 -0.0314325 0
-0.0080100 -0.0320399 0
-0.0081633 -0.0326530 0
-0.0083180 -0.0332721 0
-0.0084742 -0.0338969 0
-0.0086319 -0.0345275 0
-0.0087910 -0.0351639 0
-0.0089516 -0.0358062 0
-0.0091136 -0.0364543 0
-0.0092770 -0.0371081 0
-0.0094420 -0.0377678 0
-0.0096083 -0.0384333 0
-0.0097762 -0.0391046 0
-0.0099454 -0.0397817 0
-0.0101162 -0.0404647 0
-0.0102884 -0.0411534 0
-0.0104620 -0.0418480 0
-0.0106371 -0.0425484 0
-0.0108137 -0.0432546 0
-0.0109917 -0.0439665 0
-0.0111711 -0.0446844 0
-0.0113520 -0.0454080 0
-0.0115344 -0.0461375 0
-0.0117182 -0.0468727 0
-0.0119034 -0.0476137 0
-0.0120901 -0.0483606 0
-0.0122783 -0.0491133 0
-0.0124680 -0.0498718 0
-0.0126590 -0.0506361 0
-0.0128516 -0.0514062 0
-0.0130455 -0.0521821 0
-0.0132410 -0.0529639 0
-0.0134378 -0.0537514 0
-0.0136362 -0.0545448 0
-0.0138360 -0.0553440 0
-0.0140372 -0.0561489 0
-0.0142400 -0.0569597 0
-0.0144441 -0.0577764 0
-0.0146497 -0.0585988 0
-0.0148568 -0.0594271 0
-0.0150653 -0.0602611 0
-0.0152752 -0.0611010 0
-0.0154867 -0.0619467 0
-0.0156995 -0.0627981 0
-0.0159139 -0.0636555 0
-0.0161296 -0.0645186 0
-0.0163469 -0.0653875 0
-0.0165656 -0.0662622 0
-0.0167857 -0.0671428 0
-0.0170073 -0.0680292 0
-0.0172303 -0.0689213 0
-0.0174548 -0.0698193 0
-0.0176808 -0.0707231 0
-0.0179082 -0.0716327 0
-0.0181370 -0.0725482 0
-0.0183674 -0.0734694 0
-0.0185991 -0.0743964 0
-0.0188323 -0.0753293 0
-0.0190670 -0.0762680 0
-0.0193031 -0.0772125 0
-0.0195407 -0.0781628 0
-0.0197797 -0.0791188 0
-0.0200202 -0.0800808 0
-0.0202621 -0.0810485 0
-0.0205055 -0.0820221 0
-0.0207504 -0.0830014 0
-0.0209966 -0.0839866 0
-0.0212444 -0.0849776 0
-0.0214936 -0.0859744 0
-0.0217443 -0.0869770 0
-0.0219963 -0.0879854 0
-0.0222499 -0.0889996 0
-0.0225049 -0.0900197 0
-0.0227614 -0.0910456 0
-0.0230193 -0.0920772 0
-0.0232787 -0.0931147 0
-0.0235395 -0.0941580 0
-0.0238018 -0.0952071 0
-0.0240655 -0.0962620 0
-0.0243307 -0.0973228 0
-0.0245973 -0.0983893 0
-0.0248654 -0.0994617 0
-0.0251350 -0.1005398 0
-0.0254059 -0.1016238 0
-0.0256784 -0.1027136 0
-0.0259523 -0.1038092 0
-0.0262277 -0.1049106 0
-0.0265045 -0.1060178 0
-0.0267827 -0.1071309 0
-0.0270624 -0.1082497 0
-0.0273436 -0.1093744 0
-0.0276262 -0.1105049 0
-0.0279103 -0.1116412 0
-0.0281958 -0.1127833 0
-0.0284828 -0.1139312 0
-0.0287712 -0.1150849 0
-0.0290611 -0.1162444 0
-0.0293524 -0.1174098 0
-0.0296452 -0.1185809 0
-0.0299395 -0.1197580 0
-0.0302352 -0.1209407 0
-0.0305323 -0.1221293 0
-0.0308309 -0.1233237 0
-0.0311310 -0.1245239 0
-0.0314325 -0.1257300 0
-0.0317355 -0.1269418 0
-0.0320399 -0.1281595 0
-0.0323457 -0.1293830 0
-0.0326531 -0.1306123 0
-0.0329618 -0.1318473 0
-0.0332721 -0.1330882 0
-0.0335837 -0.1343349 0
-0.0338969 -0.1355875 0
-0.0342115 -0.1368459 0
-0.0345275 -0.1381100 0
-0.0348450 -0.1393800 0
-0.0351640 -0.1406558 0
-0.0354843 -0.1419374 0
-0.0358062 -0.1432248 0
-0.0361295 -0.1445180 0
-0.0364543 -0.1458170 0
-0.0367805 -0.1471218 0
-0.0371081 -0.1484326 0
-0.0374373 -0.1497490 0
-0.0377678 -0.1510713 0
-0.0380998 -0.1523994 0
-0.0384333 -0.1537333 0
-0.0387682 -0.1550730 0
-0.0391046 -0.1564185 0
-0.0394425 -0.1577699 0
-0.0397817 -0.1591270 0
-0.0401225 -0.1604900 0
-0.0404647 -0.1618587 0
-0.0408083 -0.1632334 0
-0.0411534 -0.1646137 0
-0.0415000 -0.1660000 0
-0.0418480 -0.1673920 0
-0.0421975 -0.1687898 0
-0.0425484 -0.1701935 0
-0.0429007 -0.1716029 0
-0.0432546 -0.1730182 0
-0.0436098 -0.1744393 0
-0.0439665 -0.1758662 0
-0.0443247 -0.1772989 0
-0.0446844 -0.1787375 0
-0.0450454 -0.1801818 0
-0.0454080 -0.1816319 0
-0.0457720 -0.1830879 0
-0.0461374 -0.1845497 0
-0.0465043 -0.1860172 0
-0.0468727 -0.1874906 0
-0.0472425 -0.1889699 0
-0.0476137 -0.1904548 0
-0.0479864 -0.1919457 0
-0.0483606 -0.1934423 0
-0.0487362 -0.1949448 0
-0.0491133 -0.1964531 0
-0.0494918 -0.1979672 0
-0.0498718 -0.1994871 0
-0.0502532 -0.2010128 0
-0.0506361 -0.2025443 0
-0.0510204 -0.2040817 0
-0.0514062 -0.2056248 0
-0.0517934 -0.2071737 0
-0.0521821 -0.2087285 0
-0.0525723 -0.2102891 0
-0.0529639 -0.2118555 0
-0.0533569 -0.2134277 0
-0.0537514 -0.2150057 0
-0.0541474 -0.2165896 0
-0.0545448 -0.2181792 0
-0.0549437 -0.2197746 0
-0.0553440 -0.2213759 0
-0.0557458 -0.2229830 0
-0.0561490 -0.2245959 0
-0.0565537 -0.2262146 0
-0.0569598 -0.2278391 0
-0.0573674 -0.2294694 0
-0.0577764 -0.2311056 0
-0.0581869 -0.2327476 0
-0.0585988 -0.2343953 0
-0.0590122 -0.2360489 0
-0.0594271 -0.2377082 0
-0.0598434 -0.2393734 0
-0.0602611 -0.2410445 0
-0.0606803 -0.2427213 0
-0.0611010 -0.2444040 0
-0.0615231 -0.2460923 0
-0.0619467 -0.2477866 0
-0.0623717 -0.2494867 0
-0.0627982 -0.2511926 0
-0.0632261 -0.2529043 0
-0.0636555 -0.2546218 0
-0.0640863 -0.2563452 0
