sps 100000
0.0000000 0.0000000 0
-0.0000096 -0.0000097 0
-0.0000378 -0.0000378 0
-0.0000844 -0.0000845 0
-0.0001496 -0.0001496 0
-0.0002333 -0.0002333 0
-0.0003354 -0.0003355 0
-0.0004560 -0.0004561 0
-0.0005952 -0.0005952 0
-0.0007529 -0.0007529 0
-0.0009291 -0.0009291 0
-0.0011237 -0.0011237 0
-0.0013369 -0.0013369 0
-0.0015685 -0.0015685 0
-0.0018187 -0.0018187 0
-0.0020873 -0.0020873 0
-0.0023745 -0.0023744 0
-0.0026801 -0.0026801 0
-0.0030043 -0.0030042 0
-0.0033470 -0.0033469 0
-0.0037081 -0.0037081 0
-0.0040878 -0.0040878 0
-0.0044859 -0.0044859 0
-0.0049026 -0.0049026 0
-0.0053377 -0.0053377 0
-0.0057914 -0.0057914 0
-0.0062644 -0.0062644 0
-0.0067558 -0.0067558 0
-0.0072658 -0.0072658 0
-0.0077942 -0.0077942 0
-0.0083412 -0.0083412 0
-0.0089067 -0.0089067 0
-0.0094906 -0.0094907 0
-0.0100931 -0.0100931 0
-0.0107140 -0.0107141 0
-0.0113535 -0.0113536 0
-0.0120115 -0.0120115 0
-0.0126880 -0.0126880 0
-0.0133829 -0.0133829 0
-0.0140964 -0.0140964 0
-0.0148284 -0.0148284 0
-0.0155788 -0.0155788 0
-0.0163478 -0.0163478 0
-0.0171353 -0.0171353 0
-0.0179412 -0.0179412 0
-0.0187657 -0.0187657 0
-0.0196087 -0.0196087 0
-0.0204701 -0.0204702 0
-0.0213501 -0.0213501 0
-0.0222486 -0.0222486 0
-0.0231655 -0.0231656 0
-0.0241018 -0.0241018 0
-0.0250566 -0.0250566 0
-0.0260298 -0.0260298 0
-0.0270216 -0.0270216 0
-0.0280319 -0.0280319 0
-0.0290607 -0.0290607 0
-0.0301080 -0.0301079 0
-0.0311738 -0.0311737 0
-0.0322580 -0.0322580 0
-0.0333608 -0.0333608 0
-0.0344821 -0.0344821 0
-0.0356219 -0.0356219 0
-0.0367802 -0.0367802 0
-0.0379569 -0.0379569 0
-0.0391522 -0.0391522 0
-0.0403660 -0.0403660 0
-0.0415982 -0.0415982 0
-0.0428490 -0.0428490 0
-0.0441183 -0.0441183 0
-0.0454061 -0.0454061 0
-0.0467123 -0.0467124 0
-0.0480371 -0.0480371 0
-0.0493804 -0.0493805 0
-0.0507423 -0.0507422 0
-0.0521225 -0.0521225 0
-0.0535222 -0.0535221 0
-0.0549402 -0.0549402 0
-0.0563767 -0.0563767 0
-0.0578319 -0.0578319 0
-0.0593055 -0.0593054 0
-0.0607976 -0.0607975 0
-0.0623081 -0.0623081 0
-0.0638372 -0.0638372 0
-0.0653848 -0.0653848 0
-0.0669509 -0.0669509 0
-0.0685354 -0.0685354 0
-0.0701385 -0.0701385 0
-0.0717601 -0.0717602 0
-0.0734002 -0.0734003 0
-0.0750589 -0.0750589 0
-0.0767359 -0.0767359 0
-0.0784315 -0.0784315 0
-0.0801455 -0.0801455 0
-0.0818782 -0.0818782 0
-0.0836293 -0.0836293 0
-0.0853989 -0.0853988 0
-0.0871869 -0.0871869 0
-0.0889935 -0.0889936 0
-0.0908186 -0.0908186 0
-0.0926622 -0.0926622 0
-0.0945252 -0.0945252 0
-0.0964065 -0.0964066 0
-0.0983064 -0.0983064 0
-0.1002248 -0.1002248 0
-0.1021617 -0.1021617 0
-0.1041171 -0.1041171 0
-0.1060911 -0.1060910 0
-0.1080834 -0.1080834 0
-0.1100943 -0.1100943 0
-0.1121238 -0.1121237 0
-0.1141716 -0.1141716 0
-0.1162380 -0.1162380 0
-0.1183229 -0.1183230 0
-0.1204263 -0.1204263 0
-0.1225483 -0.1225482 0
-0.1246886 -0.1246887 0
-0.1268475 -0.1268475 0
-0.1290249 -0.1290249 0
-0.1312209 -0.1312208 0
-0.1334353 -0.1334352 0
-0.1356681 -0.1356681 0
-0.1379195 -0.1379195 0
-0.1401893 -0.1401894 0
-0.1424778 -0.1424778 0
-0.1447847 -0.1447847 0
-0.1471110 -0.1471110 0
-0.1494556 -0.1494556 0
-0.1518189 -0.1518189 0
-0.1542006 -0.1542006 0
-0.1566008 -0.1566008 0
-0.1590195 -0.1590195 0
-0.1614567 -0.1614567 0
-0.1639124 -0.1639125 0
-0.1663867 -0.1663867 0
-0.1688794 -0.1688794 0
-0.1713906 -0.1713906 0
-0.1739202 -0.1739202 0
-0.1764684 -0.1764684 0
